gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1846920154	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442412	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	35.97121	-94.218414											8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	1157995			CC0_1_0		Natasha Wright			2018-07-06T21:21:41.013Z		GEODETIC_DATUM_ASSUMED_WGS84
1846920153	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442415	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	35.97121	-94.218414							2011-05-19T00:00:00Z	19	5	2011	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	1157998			CC0_1_0		Natasha Wright			2018-07-06T21:21:41.146Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920151	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442416	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	35.97121	-94.218414											8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	1158000			CC0_1_0		Natasha Wright			2018-07-06T21:21:40.799Z		GEODETIC_DATUM_ASSUMED_WGS84
1846920147	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442407	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	30.684572	-88.19657							2014-08-07T00:00:00Z	7	8	2014	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	974164			CC0_1_0		Robert Lord Zimlich			2018-07-06T21:21:41.171Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920144	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442420	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	30.684572	-88.19657							2016-05-12T00:00:00Z	12	5	2016	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	1222817			CC0_1_0		Robert Lord Zimlich			2018-07-06T21:21:40.625Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920143	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442419	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	30.239513	-97.69127							2016-04-27T00:00:00Z	27	4	2016	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	1221759			CC0_1_0		Mike Quinn			2018-07-06T21:21:40.767Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920140	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442410	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	30.684572	-88.19657							2015-05-21T00:00:00Z	21	5	2015	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	1077684			CC0_1_0		Robert Lord Zimlich			2018-07-06T21:21:41.771Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920139	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442413	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	35.97121	-94.218414											8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	1157996			CC0_1_0		Natasha Wright			2018-07-06T21:21:41.237Z		GEODETIC_DATUM_ASSUMED_WGS84
1846920138	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442406	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	40.041992	-76.2502							2014-07-22T00:00:00Z	22	7	2014	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	963951			CC0_1_0		roar			2018-07-06T21:21:40.807Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920136	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442417	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	35.97121	-94.218414											8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	1158005			CC0_1_0		Natasha Wright			2018-07-06T21:21:41.286Z		GEODETIC_DATUM_ASSUMED_WGS84
1846920135	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442404	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	30.684572	-88.19657							2014-07-14T00:00:00Z	14	7	2014	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	957921			CC0_1_0		Robert Lord Zimlich			2018-07-06T21:21:40.958Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920131	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442408	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	30.684572	-88.19657							2015-03-31T00:00:00Z	31	3	2015	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	1051535			CC0_1_0		Robert Lord Zimlich			2018-07-06T21:21:40.801Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920130	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442398	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	29.857273	-95.393036							2012-07-13T00:00:00Z	13	7	2012	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	674239			CC0_1_0		John Schneider			2018-07-06T21:21:41.146Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920127	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442409	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	32.766987	-96.77843							2015-05-29T00:00:00Z	29	5	2015	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	1076165			CC0_1_0		Gacko			2018-07-06T21:21:41.631Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920126	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442411	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	42.65558	-90.130295							2015-08-30T00:00:00Z	30	8	2015	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	1137322			CC0_1_0		Marci Hess			2018-07-06T21:21:41.557Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920123	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442394	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	29.857273	-95.393036							2011-07-02T00:00:00Z	2	7	2011	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	538778			CC0_1_0		Graham Montgomery			2018-07-06T21:21:41.894Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920122	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442393	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	30.544003	-91.09318							2008-09-30T00:00:00Z	30	9	2008	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	353431			CC0_1_0		Gayle and Jeanell Strickland			2018-07-06T21:21:41.281Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920118	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442403	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	29.857273	-95.393036							2013-04-17T00:00:00Z	17	4	2013	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	868251			CC0_1_0		A. Hendrickson			2018-07-06T21:21:40.953Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920115	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442395	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	30.684572	-88.19657							2011-07-15T00:00:00Z	15	7	2011	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	546568			CC0_1_0		Robert Lord Zimlich			2018-07-06T21:21:41.403Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920109	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442402	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	30.684572	-88.19657							2013-06-06T00:00:00Z	6	6	2013	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	781708			CC0_1_0		Robert Lord Zimlich			2018-07-06T21:21:41.146Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920107	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442400	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	27.184385	-82.36584							2013-03-04T00:00:00Z	4	3	2013	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	748567			CC0_1_0		Gary R. McClellan			2018-07-06T21:21:41.171Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920105	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442401	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	29.5033	-90.03623							2013-05-17T00:00:00Z	17	5	2013	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	771878			CC0_1_0		Louisiana State Arthropod Museum			2018-07-06T21:21:42.366Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920104	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442405	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	33.550014	-81.63298							2014-07-17T00:00:00Z	17	7	2014	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	959682			CC0_1_0		JC Jones			2018-07-06T21:21:41.345Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920102	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442421	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	42.65558	-90.130295							2015-07-23T00:00:00Z	23	7	2015	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	1317889			CC0_1_0		Marci Hess			2018-07-06T21:21:41.436Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920096	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442414	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	35.97121	-94.218414											8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	1157997			CC0_1_0		Natasha Wright			2018-07-06T21:21:40.765Z		GEODETIC_DATUM_ASSUMED_WGS84
1846920094	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442422	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	42.65558	-90.130295							2015-07-23T00:00:00Z	23	7	2015	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	1327119			CC0_1_0		Marci Hess			2018-07-06T21:21:41.170Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920091	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442418	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	35.97121	-94.218414											8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	1158007			CC0_1_0		Natasha Wright			2018-07-06T21:21:40.870Z		GEODETIC_DATUM_ASSUMED_WGS84
1846920089	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442397	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	27.90659	-82.34957							2012-06-03T00:00:00Z	3	6	2012	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	651697			CC0_1_0		Ken Allen			2018-07-06T21:21:41.216Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920076	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442396	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	27.184385	-82.36584							2011-12-04T00:00:00Z	4	12	2011	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	599362			CC0_1_0		Gary R. McClellan			2018-07-06T21:21:41.461Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920066	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442399	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	30.206507	-92.06417							2012-11-24T00:00:00Z	24	11	2012	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	725762			CC0_1_0		bdedo			2018-07-06T21:21:41.398Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920063	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442392	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	29.448671	-98.52015							2009-05-12T00:00:00Z	12	5	2009	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	275029			CC0_1_0		Gerald (Jerry) R. Donehew			2018-07-06T21:21:41.692Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920002	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442306	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	25.610495	-80.49905											8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	250110			CC0_1_0		Michael C. Thomas			2018-07-06T21:21:41.781Z		GEODETIC_DATUM_ASSUMED_WGS84
1800713940	262f8270-f9c2-4bc6-a562-8ed71c0790e6	urn:lsid:biosci.ohio-state.edu:osuc_occurrences:UCFC__0__186__330	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US	Gainesville, Alachua County, FL	5ffa575c-fcd4-4583-9611-545f67b04316	29.6516	-82.3248							2004-08-15T00:00:00Z	15	8	2004	8254044	8254044	PRESERVED_SPECIMEN	University of Central Florida Collection of Arthopods (UCFC)	Arthropods	UCFC 0 186 330			CC_BY_4_0		Skelley, P. E. (Paul E.)			2018-07-07T13:06:42.068Z		GEODETIC_DATUM_ASSUMED_WGS84;IDENTIFIED_DATE_UNLIKELY
1632961428	84a649ce-ff81-420d-9c41-aa1de59e3766	1c82e2c6-3467-4657-b6ff-2146434ff860	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	AU	23 Babers Rd, Cooranbong NSW 2265, Australia	adc174cd-c752-4eee-9630-7c1209eb1c4a	-33.083056	151.445761	50.0						2016-07-22T00:00:00Z	22	7	2016	8254044	8254044	HUMAN_OBSERVATION				https://biocollect.ala.org.au/sightings/bioActivity/index/04639d45-2f5a-4ffd-bdab-7e428bdb89ad		CC_BY_4_0		Terence Annable			2018-07-07T09:14:57.810Z		COUNTRY_DERIVED_FROM_COORDINATES;COORDINATE_ROUNDED
1562935889	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/6209843	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	30.159709	-97.845974	2.0						2017-05-12T21:33:00Z	12	5	2017	8254044	8254044	HUMAN_OBSERVATION	iNaturalist	Observations	6209843			CC_BY_NC_4_0	Curtis Eckerman	Curtis Eckerman			2018-07-07T15:43:50.833Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1562922089	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/6167976	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	33.334841	-87.793647							2017-04-30T19:12:06Z	30	4	2017	8254044	8254044	HUMAN_OBSERVATION	iNaturalist	Observations	6167976			CC_BY_NC_4_0	John Abbott	John Abbott			2018-07-07T15:43:50.733Z		GEODETIC_DATUM_ASSUMED_WGS84
1457641587	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/5676157	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	30.159722	-97.845833							2017-04-12T20:56:00Z	12	4	2017	8254044	8254044	HUMAN_OBSERVATION	iNaturalist	Observations	5676157			CC_BY_NC_4_0	Curtis Eckerman	Curtis Eckerman			2018-07-07T11:02:34.643Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
